code_plot;year;GS;CS;SLC;DB;SP;DW;IF;FD;RN;RW
15;1987;281.84;83.02;82.24;1.22;0.00;0.00;NA;NA;NA;NA
20;1987;187.79;55.66;71.71;1.34;0.23;0.00;NA;NA;NA;NA
15;1995;345.56;101.79;78.05;1.38;0.00;4.75;0.28;NA;NA;NA
20;1995;274.65;81.52;68.70;1.49;0.24;5.57;0.62;NA;NA;NA
15;1999;346.63;102.10;77.77;1.29;0.00;4.91;0.00;20;NA;NA
20;1999;262.89;78.32;67.49;1.49;0.31;0.70;0.00;15;NA;NA
15;2004;358.72;105.67;75.16;1.49;0.10;2.46;7.16;20;NA;NA
20;2004;311.43;93.55;69.99;1.96;1.06;0.00;0.00;15;NA;NA
15;2009;271.66;80.09;74.74;1.65;0.57;0.00;0.00;20;NA;NA
20;2009;362.08;109.34;80.34;2.06;1.28;9.46;1.69;NA;NA;NA
15;2014;294.92;87.11;79.47;1.79;1.04;3.05;0.00;25;NA;NA
20;2014;325.06;98.87;79.08;2.10;1.53;7.52;0.07;NA;NA;NA
15;2019;315.11;93.87;74.72;1.92;1.39;0.00;3.24;25;NA;NA
20;2019;348.54;105.36;65.19;2.12;1.37;0.00;2.44;NA;NA;NA
