CS;GS;DW;RN;SP;DB;FD;IF;SLC;RW
496;1462;16.6;48.4;1.22;2.22;NA;NA;89.3;NA
254;988;33.8;29.2;1.17;2.2;NA;NA;68.6;NA
237;726;34.8;67.8;1.38;2.09;NA;NA;82.4;NA
259;959;4.74;73.4;0.855;2.35;NA;NA;77.2;NA
203;751;21.2;35;0.996;2.12;NA;NA;71;NA
